"","T0","T1","T2","T4","T5","T6","T7","T8"
"",16608.443974359,18108.5946886447,16957.7064652015,17109.6552564103,18664.9543589744,19352.8838424908,20477.3371428571,19564.5203479853
"A2ML1",173943.333333333,207346.666666667,197733.333333333,142475,136933.666666667,111757.666666667,111074,83271.6666666667
"A4GALT",2248.48,2738.36666666667,2847.47333333333,3033.15333333333,3494.93333333333,3154.03333333333,3791.2,3678.63333333333
"AAAS",7508.86666666667,8816.2,7751.4,7851.03333333333,8112.33333333333,8035.4,9205,8033.43333333333
"AADAT",4786.6,6196.46666666667,5709,4665.2,4753.4,7158.86666666667,7799.33333333333,8092.53333333333
"AAED1",755.11,1017.17333333333,911.136666666667,1071.54666666667,1229.79333333333,1523.03333333333,1367.26666666667,1219.52666666667
"AAK1",9110,8485.01666666667,8429.03333333333,8702.35,9864.05,8872.47,9201.04333333333,9378.83333333333
"AAMP",0,0,0,0,0,0,0,0
"AAR2",5902.16666666667,6212.7,5282.43333333333,5315.8,5053.8,6509.13333333333,7690.7,7033.53333333333
"AARS",74962,71953.6666666667,65191.6666666667,47825.3333333333,48826.6666666667,44387.3333333333,45213.6666666667,44487.3333333333
"AARS2",96943.3333333333,112722,106996,80626.6666666667,84670,90400,94477.3333333333,93972.3333333333
"AASDHPPT",23452.6666666667,14815.3333333333,13823.6666666667,6410.53333333333,7074.23333333333,8007.03333333333,9584.93333333333,7393.6
"AASS",106231.333333333,113825.333333333,113484,99608,102857.333333333,101684.333333333,103064.333333333,95229.3333333333
"AATF",25644.6666666667,27391.3333333333,26166,16155.6,16424.4666666667,14453.0333333333,15501.9666666667,14937.2
"ABAT",20611,24672.6666666667,21035.6666666667,22186.3333333333,23893.3333333333,19557.3333333333,24989,19842
"ABCA12",11635.6333333333,11634.4666666667,12246.8666666667,7610.96666666667,7330.36666666667,7507.46666666667,6337.63333333333,6560.4
"ABCA2",4252.63,4132.1,4262.73333333333,3486.4,3714.46666666667,3144.47666666667,3211.30333333333,3165.50333333333
"ABCA5",3457.17333333333,3516.3,3665.43333333333,3305.76666666667,3251.03,2696.53,3101.06666666667,2294.75666666667
"ABCA6",6173.23333333333,6480.43333333333,5913.06666666667,6511.72666666667,6713.73333333333,7770.73333333333,8317.08666666667,7102.57666666667
